,line_no,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184
78,82A,외동차고지,김해보건소,김해교육지원청,김해여중,대성사거리,김해향교,동상동,김해천주교회,김해세무서,김해시청,복음병원입구,성모병원,인제대역,초선대,김해대학역,경남은행,지내역,양장골,불암장어마을,선암,수안,선만고개,주중,성안,장시마을,동광원,시례,시례마을,마산,초정,대동면행정복지센터,원지마을,원지,괴정,지나,괴정소류지,감천,대감초등학교,덕산,신암,신촌,고암3반,고암2반,고암,소감입구,상동매리농협,소감입구,고암,고암2반,고암3반,신촌,신암,덕산,대감초등학교,감천,괴정소류지,지나,괴정,원지,원지마을,대동면행정복지센터,초정,마산,시례마을,시례,동광원,장시마을,성안마을,주중,선만고개,수안,선암,불암장어마을,양장골,지내역,지내동원아파트,경남은행,김해대학역,초선대,인제대역,성모병원,복음병원입구,김해시청,한솔병원,김해세무서,김해천주교회,동상동,김해향교,대성사거리,김해여중,김해교육지원청,이마트 신세계백화점,김해터미널(정문),무접,외동차고지(종점),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,83,상동매리농협,소감입구,고암,고암2반,고암3반,신촌,신암,덕산,월촌2교,월촌나루터,월촌,평촌,감천입구,하사,조눌,신동마을,신동2구,신동,안막2구,안막3구,안막3구,안막2구,신동,신동2구,신동마을,조눌,하사,감천입구,평촌,월촌,월촌나루터,월촌2교,덕산삼거리,덕산,신암,신촌,고암3반,고암2반,고암,소감입구,상동매리농협,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,9,풍유동차고지,풍유동차고지앞,풍유동,선천지구입구,센텀큐시티정문,센텀큐시티후문,선천중심상가,조만강,주촌서희,센텀두산위브,선천마을,선천산책로,주촌교차로,서선마을,동선마을,주촌두산위브,건강생활지원센터,일동한신아파트,한신아파트,중앙병원,신주공아파트,한국2차아파트,한국1차아파트,동일아파트,임호중학교,내외동행정복지센터,현대4차아파트,건영아파트,내동사거리,법원등기소입구,연지공원,북부동원아파트,돋들이마을,부영6차아파트,조은금강병원,동신아파트,감분마을,대우이안아파트,삼계동원로얄듀크,가야대학교,현대가야아이파크,삼계축협,삼계동부산은행,북부동행정복지센터,가야대역,대우이안아파트,감분마을,동신아파트,조은금강병원,부영6차아파트,돋들이마을,북부동원아파트,연지공원,법원등기소입구,내동사거리,건영아파트,현대4차아파트,내외동행정복지센터,임호초등학교,덕산아파트,대동아파트,중앙병원,한신아파트,일동한신아파트,주촌두산위브,동선마을,서선마을,주촌교차로,선천산책로,선천마을,센텀두산위브,주촌서희,조만강,선천중심상가,센텀큐시티후문,센텀큐시티정문,선천지구입구,풍유동,풍유동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,97,선암,선암,불암역,양장골,지내역,지내동원아파트,지내동입구,활천초등학교,못안마을,안동육거리,한일여고,계내,한샘베스트빌라,신어중학교,동성아파트,삼방시장,화인아파트,영운초등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,대우유토피아후문,어방동원아파트,약수터,활천고개,동광초등학교,동상동,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,대법륜사,풍유동,풍유2통,명법1통,명법2통,내덕,내덕서희,남명더라우,대동1단지,장유초등학교,장유석봉마을,월산초등학교,주공아파트,장유스포츠센터,장유푸르지오8차,대청초등학교,대청고등학교,갑오마을,계동,대청계곡,계동초등학교,덕정사거리,관동중학교,신안마을,삼정자내리마을,내리,창원경상대학병원,성산구청(성주동마을도서관),남산공원환승센터,남산중학교,남산고등학교,대방동종점,대방동성아파트,안남중학교,임마뉴엘교회,대방초등학교,대방덕산아파트,성원3차아파트.노인종합복지관,사파동성아파트,사파동,창원축구센터.법원,검찰청,창원시립테니스장입구,토월공원,경남도청,도청사거리,성심유치원,창원대삼거리,우영프라자,창원대학교입구,창원대학교종점,창원대학교입구,우영프라자,창원대삼거리,창원의집 입구,사림동,장애인복지회관입구,봉곡상가입구,까치아파트,럭키상가,운동장사거리,창원종합운동장,만남의광장,트리비앙아파트.한국폴리텍대학,중앙고등학교,창원시청.한서병원,은아아파트,시민생활체육관,대동백화점,토월성원아파트,상남도서관,더샵센트럴파크2단지,더샵센트럴파크1단지,여성회관창원관,성주초등학교,남산버스정류소,남산아파트,성산구청(성주동마을도서관),한국지엠/창원경상대학병원,한화테크윈 제2사업장,불모산,신안마을,관동중학교,덕정사거리,계동초등학교,대청계곡,계동,갑오마을,대청고등학교,대청초등학교,장유푸르지오8차,장유스포츠센터,부영11차아파트,월산초등학교,장유석봉마을,장유초등학교,대동1단지,남명더라우,내덕서희,내덕,명법2통,명법1통,풍유2통,풍유동,대법륜사,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,동광초등학교,활천고개,약수터,어방동원아파트,대우유토피아후문,인제대학교,인제공원,삼방동장애인복지관,영운초등학교,화인아파트,삼방시장,동성아파트,신어중학교,계내,한일여고,안동육거리,못안마을,활천초등학교,지내역,불암장어마을,선암,,,,,,,,,,,
82,97-1,계동(종점),갑오마을,장유도서관,능동삼거리,한림리츠빌,한림리츠빌,능동삼거리,장유도서관,계동,대청계곡,계동초등학교,덕정사거리,관동중학교,신안마을,삼정자내리마을,내리,창원경상대학병원,성산구청(성주동마을도서관),남산공원환승센터,남산중학교,남산버스정류소,남산아파트,성산구청(성주동마을도서관),한국지엠/창원경상대학병원,한화테크윈 제2사업장,불모산,신안마을,관동중학교,덕정사거리,계동초등학교,갑오마을,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,98,선암,선암,불암역,양장골,지내역,지내동원아파트,지내동입구,활천초등학교,못안마을,안동육거리,한일여고,계내,한샘베스트빌라,신어중학교,동성아파트,삼방시장,화인아파트,영운초등학교,삼방동장애인복지관,인제공원,인제대학교,대우유토피아,대우유토피아후문,어방동원아파트,약수터,활천고개,동광초등학교,동상동,분성사거리,수로왕릉,김해도서관,김해보건소,한국1차아파트,한국2차아파트,중앙병원,한신아파트,일동한신아파트,대법륜사,풍유동,풍유2통,명법1통,명법2통,내덕,내덕서희,남명더라우,대동1단지,장유초등학교,장유석봉마을,월산초등학교,주공아파트,장유스포츠센터,장유푸르지오8차,대청초등학교,대청고등학교,갑오마을,계동,대청계곡,계동초등학교,덕정사거리,관동중학교,신안마을,삼정자내리마을,내리,창원경상대학병원,성산구청(성주동마을도서관),남산공원환승센터,남산중학교,여성회관창원관,피오르빌아파트,남양초등학교,한림아파트,사파삼익아파트,대동백화점,시민생활체육관,은아아파트,창원시청,정우상가,중앙고등학교,트리비앙아파트.한국폴리텍대학,노블파크아파트,운동장사거리,럭키상가,까치아파트,대동그린코아,장애인복지회관입구,사림동,창원의집 입구,창원대삼거리,우영프라자,창원대학교입구,창원대학교종점,창원대학교입구,우영프라자,창원대삼거리,성심유치원,청룡길,도청사거리,경남도청,토월공원,창원시립테니스장입구,검찰청,창원축구센터.법원,사파동,사파동성아파트,남양동성아파트.노인종합복지관,남양성원2차아파트,남양개나리3차아파트,남양동주택,안남중학교,대방동종점,남산고등학교,남산중학교,남산버스정류소,남산아파트,성산구청(성주동마을도서관),한국지엠/창원경상대학병원,한화테크윈 제2사업장,불모산,신안마을,관동중학교,덕정사거리,계동초등학교,대청계곡,계동,갑오마을,대청고등학교,대청초등학교,장유푸르지오8차,장유스포츠센터,부영11차아파트,월산초등학교,장유석봉마을,장유초등학교,대동1단지,남명더라우,내덕서희,내덕,명법2통,명법1통,풍유2통,풍유동,대법륜사,일동한신아파트,한신아파트,중앙병원,임호성당,조흥그린,무접마을,김해보건소,김해도서관,수로왕릉,분성사거리,동상동,동광초등학교,활천고개,약수터,어방동원아파트,대우유토피아후문,인제대학교,인제공원,삼방동장애인복지관,영운초등학교,화인아파트,삼방시장,동성아파트,신어중학교,계내,한일여고,안동육거리,못안마을,활천초등학교,지내역,불암장어마을,선암,,,,,,,,,,,
84,대동공영,풍유동차고지,풍유동차고지앞,느타리공원,칠산서부동행정복지센터,봉황초등학교,동아그린앞,무접,김해보건소,이마트 신세계백화점,김해터미널(정문),봉황역,김해중부경찰서,부원역,김해시청,복음병원입구,성모병원,인제대역,초선대,김해대학역,경남은행,지내역,양장골,불암장어마을,선암,수안,선만고개,주중,성안,장시마을,신안마을,마산,신안,예안교회,신정입구,신정,신정교,안막3구,대동중학교,대동농협,안막1구,운하교,마산입구,원지,괴정,지나,괴정소류지,감천,대감초등학교,덕산삼거리,덕산,대감초등학교,감천,괴정소류지,지나,괴정,원지,마산입구,운하교,안막1구,대동농협,대동중학교,안막3구,신정교,신정,신정입구,예안교회,신안,마산,신안마을,장시마을,성안마을,주중,선만고개,수안,선암,불암장어마을,양장골,지내역,지내동원아파트,경남은행,김해대학역,초선대,인제대역,성모병원,복음병원입구,김해시청,한솔병원,부원역,김해중부경찰서,봉황역,무접,동아그린아파트,봉황초등학교,칠산서부동행정복지센터,느타리공원,풍유동차고지,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,도시형1,한림면행정복지센터,한림정역,내오서,외오서,오서안골,내오서경로회관,금곡마을회관,정촌마을,한림정역,한림면행정복지센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,도시형2,인제대역,메가마트,활천46통(수영),활천22통(전산),부원14통(쇠내),부원역,김해터미널(남문),봉황초등학교,전하1통,농업기술센터,전하1통,흥동2통(평리),봉황초등학교,봉황역,부원역,부원14통(쇠내),활천22통(전산),활천46통(수영),메가마트,인제대역,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,도시형3,어병마을,모업,소업마을,퇴은,삼미,신기마을,진영역,효동마을,아랫양지,윗양지,용전,제일고등학교,진영시외주차장,진영시외주차장,제일고등학교,용전,윗양지,아랫양지,효동마을,진영역(김해행),신기마을,삼미,퇴은,소업마을,어병마을,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
